docid	lc_words	tags	coarse_tags	pattern	numwords	numchars	count
bill1	voting	NNP	Noun	NP	1	6	8
bill1	voting	VBG	Verb	VG	1	6	2
bill1	elections	NNS	Noun	NP	1	9	19
bill1	provided	VBN	Verb	VG	1	8	19
bill1	registration application	NN NN	Noun Noun	NP	2	24	19
bill1	united	NNP	Noun	NP	1	6	19
bill1	united states	NNP NNPS	Noun Noun	NP	2	13	13
bill1	united states	NNP NNP	Noun Noun	NP	2	13	6
bill1	c	NN	Noun	NP	1	1	18
bill1	described	VBN	Verb	VG	1	9	18
bill1	change	NN	Noun	NP	1	6	14
bill1	change	NNP	Noun	NP	1	6	2
bill1	change	VB	Verb	VG	1	6	1
bill1	elections for federal	NNS IN NNP	Noun Prep Noun	NP	3	21	17
bill1	elections for federal office	NNS IN NNP NN	Noun Prep Noun Noun	NP	4	28	16
bill1	elections for federal office	NNS IN NNP NNP	Noun Prep Noun Noun	NP	4	28	1
bill1	mail	NN	Noun	NP	1	4	16
bill1	mail	NNP	Noun	NP	1	4	1
bill1	days	NNS	Noun	NP	1	4	16
bill1	place	NN	Noun	NP	1	5	15
bill1	place	VB	Verb	VG	1	5	1
bill1	purposes	NNS	Noun	NP	1	8	16
bill1	shall be	MD VB	VerbMod Verb	VG	2	8	16
bill1	state election	NN NN	Noun Noun	NP	2	14	15
bill1	state election	NNP NN	Noun Noun	NP	2	14	1
bill1	1	CD	Noun	NP	1	1	15
bill1	state election official	NN NN NN	Noun Noun Noun	NP	3	23	15
bill1	voter registration application	NN NN NN	Noun Noun Noun	NP	3	30	15
bill1	2	CD	Noun	NP	1	1	14
bill1	motor	NN	Noun	NP	1	5	13
bill1	motor	NNP	Noun	NP	1	5	1
bill1	motor vehicle	NN NN	Noun Noun	NP	2	13	13
bill1	motor vehicle	NNP NNP	Noun Noun	NP	2	13	1
bill1	vehicle	NN	Noun	NP	1	7	13
bill1	vehicle	NNP	Noun	NP	1	7	1
bill1	agency	NN	Noun	NP	1	6	13
bill1	d	NN	Noun	NP	1	1	13
bill1	jurisdiction	NN	Noun	NP	1	12	13
bill1	offices	NNS	Noun	NP	1	7	13
bill1	polling	NN	Noun	NP	1	7	13
bill1	polling place	NN NN	Noun Noun	NP	2	13	13
bill1	state law	NN NN	Noun Noun	NP	2	9	9
bill1	state law	NNP NN	Noun Noun	NP	2	9	4
bill1	statement	NN	Noun	NP	1	9	13
bill1	subsection	NN	Noun	NP	1	10	13
bill1	change of address	NN IN NN	Noun Prep Noun	NP	3	17	11
bill1	change of address	NNP IN NNP	Noun Prep Noun	NP	3	17	1
bill1	effect	NN	Noun	NP	1	6	12
bill1	including	VBG	Verb	VG	1	9	12
bill1	license	VBP	Verb	VG	1	7	6
bill1	license	NN	Noun	NP	1	7	5
bill1	license	NNP	Noun	NP	1	7	1
bill1	residence	NN	Noun	NP	1	9	12
bill1	5	CD	Noun	NP	1	1	11
bill1	appropriate state	JJ NN	Adj Noun	NP	2	17	11
bill1	are	VBP	Verb	VG	1	3	11
bill1	provide	VB	Verb	VG	1	7	6
bill1	provide	VBP	Verb	VG	1	7	5
bill1	registrar	NN	Noun	NP	1	9	11
bill1	title	NN	Noun	NP	1	5	10
bill1	title	NNP	Noun	NP	1	5	1
bill1	used	VBN	Verb	VG	1	4	11
bill1	assistance	NN	Noun	NP	1	10	10
bill1	drivers	NNS	Noun	NP	1	7	9
bill1	drivers	NNPS	Noun	NP	1	7	1
bill1	drivers license	NNS VBP	Noun Verb	VerbArg	2	15	6
bill1	drivers license	NNS NN	Noun Noun	NP	2	15	3
bill1	drivers license	NNPS NNP	Noun Noun	NP	2	15	1
bill1	eligible voters	JJ NNS	Adj Noun	NP	2	15	10
bill1	paragraph -lrb- 1 -rrb-	NN -LRB- CD -RRB-	Noun Lparen Noun Rparen	NP	4	23	10
bill1	records	NNS	Noun	NP	1	7	10
bill1	registrars	NNS	Noun	NP	1	10	10
bill1	registration agency	NN NN	Noun Noun	NP	2	19	10
bill1	right	NN	Noun	NP	1	5	8
bill1	right	NNP	Noun	NP	1	5	2
bill1	state motor	NN NN	Noun Noun	NP	2	11	10
bill1	state motor vehicle	NN NN NN	Noun Noun Noun	NP	3	19	10
bill1	voter registration agency	NN NN NN	Noun Noun Noun	NP	3	25	10
bill1	appropriate state election	JJ NN NN	Adj Noun Noun	NP	3	26	9
bill1	appropriate state election official	JJ NN NN NN	Adj Noun Noun Noun	NP	4	35	9
bill1	chief	NN	Noun	NP	1	5	9
bill1	designated	VBN	Verb	VG	1	10	9
bill1	election for federal	NN IN NNP	Noun Prep Noun	NP	3	20	9
bill1	include	VB	Verb	VG	1	7	9
bill1	motor vehicle drivers	NN NN NNS	Noun Noun Noun	NP	3	21	8
bill1	motor vehicle drivers	NNP NNP NNPS	Noun Noun Noun	NP	3	21	1
bill1	motor vehicle drivers license	NN NN NNS VBP	Noun Noun Noun Verb	VerbArg	4	29	5
bill1	motor vehicle drivers license	NN NN NNS NN	Noun Noun Noun Noun	NP	4	29	3
bill1	motor vehicle drivers license	NNP NNP NNPS NNP	Noun Noun Noun Noun	NP	4	29	1
bill1	registered	VBN	Verb	VG	1	10	9
bill1	registrars jurisdiction	NNS NN	Noun Noun	NP	2	23	9
bill1	requirement	NN	Noun	NP	1	11	9
bill1	respect	NN	Noun	NP	1	7	9
bill1	vehicle drivers	NN NNS	Noun Noun	NP	2	15	8
bill1	vehicle drivers	NNP NNPS	Noun Noun	NP	2	15	1
bill1	vehicle drivers license	NN NNS VBP	Noun Noun Verb	VerbArg	3	23	5
bill1	vehicle drivers license	NN NNS NN	Noun Noun Noun	NP	3	23	3
bill1	vehicle drivers license	NNP NNPS NNP	Noun Noun Noun	NP	3	23	1
bill1	6	CD	Noun	NP	1	1	8
bill1	action	NN	Noun	NP	1	6	6
bill1	action	NNP	Noun	NP	1	6	2
bill1	area	NN	Noun	NP	1	4	8
bill1	described in paragraph	VBN IN NN	Verb Prep Noun	VerbArg	3	22	8
bill1	election for federal office	NN IN NNP NN	Noun Prep Noun Noun	NP	4	27	8
bill1	forms	NNS	Noun	NP	1	5	8
bill1	government	NN	Noun	NP	1	10	6
bill1	government	NNP	Noun	NP	1	10	2
bill1	list	NN	Noun	NP	1	4	8
bill1	mail voter	NN NN	Noun Noun	NP	2	10	7
bill1	mail voter	NNP NNP	Noun Noun	NP	2	10	1
bill1	mail voter registration	NN NN NN	Noun Noun Noun	NP	3	23	7
bill1	mail voter registration	NNP NNP NNP	Noun Noun Noun	NP	3	23	1
bill1	paragraph -lrb- 2 -rrb-	NN -LRB- CD -RRB-	Noun Lparen Noun Rparen	NP	4	23	8
bill1	period	NN	Noun	NP	1	6	8
bill1	permitted	VBN	Verb	VG	1	9	8
bill1	persons	NNS	Noun	NP	1	7	8
bill1	procedures	NNS	Noun	NP	1	10	7
bill1	procedures	NNPS	Noun	NP	1	10	1
bill1	accordance	NN	Noun	NP	1	10	7
bill1	agencies	NNS	Noun	NP	1	8	7
bill1	application form	NN NN	Noun Noun	NP	2	16	7
bill1	attorney	NN	Noun	NP	1	8	5
bill1	attorney	NNP	Noun	NP	1	8	2
bill1	correct	VB	Verb	VG	1	7	7
bill1	name	NN	Noun	NP	1	4	7
bill1	purpose	NN	Noun	NP	1	7	7
bill1	registrants	NNS	Noun	NP	1	11	7
bill1	registration form	NN NN	Noun Noun	NP	2	17	6
bill1	registration form	NNP NN	Noun Noun	NP	2	17	1
bill1	service	NN	Noun	NP	1	7	4
bill1	service	NNP	Noun	NP	1	7	3
bill1	shall include	MD VB	VerbMod Verb	VG	2	13	7
bill1	subparagraph	NN	Noun	NP	1	12	7
bill1	subsection -lrb- a -rrb-	NN -LRB- DT -RRB-	Noun Lparen Det Rparen	NP	4	24	7
bill1	u.s.c.	NNP	Noun	NP	1	6	5
bill1	u.s.c.	NN	Noun	NP	1	6	2
bill1	voter registration form	NN NN NN	Noun Noun Noun	NP	3	23	6
bill1	voter registration form	NNP NNP NN	Noun Noun Noun	NP	3	23	1
bill1	will be	MD VB	VerbMod Verb	VG	2	7	7
bill1	30	CD	Noun	NP	1	2	6
bill1	3626	CD	Noun	NP	1	4	6
bill1	accepted	VBN	Verb	VG	1	8	6
bill1	affirmation	NN	Noun	NP	1	11	6
bill1	be permitted	VB VBN	Verb Verb	VG	2	12	6
bill1	be used	VB VBN	Verb Verb	VG	2	7	6
bill1	case	NN	Noun	NP	1	4	6
bill1	chief state	NN NN	Noun Noun	NP	2	11	5
bill1	chief state	JJ NN	Adj Noun	NP	2	11	1
bill1	chief state election	NN NN NN	Noun Noun Noun	NP	3	20	5
bill1	chief state election	JJ NN NN	Adj Noun Noun	NP	3	20	1
bill1	chief state election official	NN NN NN NN	Noun Noun Noun Noun	NP	4	29	5
bill1	chief state election official	JJ NN NN NN	Adj Noun Noun Noun	NP	4	29	1
bill1	code	NNP	Noun	NP	1	4	6
bill1	conviction	NN	Noun	NP	1	10	6
bill1	court	NN	Noun	NP	1	5	5
bill1	court	NNP	Noun	NP	1	5	1
bill1	does	VBZ	Verb	VG	1	4	6
bill1	eligibility	NN	Noun	NP	1	11	6
bill1	general	NNP	Noun	NP	1	7	6
bill1	list of eligible voters	NN IN JJ NNS	Noun Prep Adj Noun	NP	4	23	6
bill1	lists	NNS	Noun	NP	1	5	6
bill1	llmdash	NN	Noun	NP	1	7	6
bill1	made	VBN	Verb	VG	1	4	5
bill1	made	VBD	Verb	VG	1	4	1
bill1	make	VB	Verb	VG	1	4	4
bill1	make	VBP	Verb	VG	1	4	2
bill1	provided by state	VBN IN NN	Verb Prep Noun	VerbArg	3	17	6
bill1	provided by state law	VBN IN NN NN	Verb Prep Noun Noun	VerbArg	4	21	6
bill1	registrant has	NN VBZ	Noun Verb	VerbArg	2	14	6
bill1	registration application form	NN NN NN	Noun Noun Noun	NP	3	29	6
bill1	registration purposes	NN NNS	Noun Noun	NP	2	21	6
bill1	required	VBN	Verb	VG	1	8	6
bill1	rights	NNP	Noun	NP	1	6	3
bill1	rights	NNS	Noun	NP	1	6	3
bill1	sec	NNP	Noun	NP	1	3	6
bill1	services	NNS	Noun	NP	1	8	6
bill1	state motor vehicle drivers	NN NN NN NNS	Noun Noun Noun Noun	NP	4	27	6
bill1	state motor vehicle drivers license	NN NN NN NNS NN	Noun Noun Noun Noun Noun	NP	5	35	3
bill1	state motor vehicle drivers license	NN NN NN NNS VBP	Noun Noun Noun Noun Verb	VerbArg	5	35	3
bill1	states code	NNP NNP	Noun Noun	NP	2	11	6
bill1	term	NN	Noun	NP	1	4	6
bill1	united states code	NNP NNP NNP	Noun Noun Noun	NP	3	18	6
bill1	violation	NN	Noun	NP	1	9	6
bill1	voter registration purposes	NN NN NNS	Noun Noun Noun	NP	3	27	6
bill1	voters in elections	NNS IN NNS	Noun Prep Noun	NP	3	19	6
bill1	voters in elections for federal	NNS IN NNS IN NNP	Noun Prep Noun Prep Noun	NP	5	31	6
bill1	voters in elections for federal office	NNS IN NNS IN NNP NN	Noun Prep Noun Prep Noun Noun	NP	6	38	6
bill1	was	VBD	Verb	VG	1	3	6
bill1	1993	CD	Noun	NP	1	4	5
bill1	30 days	CD NNS	Noun Noun	NP	2	7	5
bill1	42	CD	Noun	NP	1	2	5
bill1	42 u.s.c.	CD NNP	Noun Noun	NP	2	9	5
bill1	7	CD	Noun	NP	1	1	5
bill1	8	CD	Noun	NP	1	1	5
bill1	9	CD	Noun	NP	1	1	5
bill1	addition	NN	Noun	NP	1	8	5
bill1	affirmation by the registrant	NN IN DT NN	Noun Prep Det Noun	NP	4	29	5
bill1	applicant is	NN VBZ	Noun Verb	VerbArg	2	12	5
bill1	attestation	NN	Noun	NP	1	11	5
bill1	changed	VBN	Verb	VG	1	7	4
bill1	changed	VBD	Verb	VG	1	7	1
bill1	congress	NNP	Noun	NP	1	8	5
bill1	day	NN	Noun	NP	1	3	5
bill1	days after the date	NNS IN DT NN	Noun Prep Det Noun	NP	4	19	5
bill1	district	NN	Noun	NP	1	8	4
bill1	district	NNP	Noun	NP	1	8	1
bill1	failure	NN	Noun	NP	1	7	5
bill1	federal election	NNP NNP	Noun Noun	NP	2	16	4
bill1	federal election	NNP NN	Noun Noun	NP	2	16	1
bill1	following	VBG	Verb	VG	1	9	4
bill1	following	NN	Noun	NP	1	9	1
bill1	has moved	VBZ VBN	Verb Verb	VG	2	9	5
bill1	have	VB	Verb	VG	1	4	4
bill1	have	NNP	Noun	NP	1	4	1
bill1	is registered	VBZ VBN	Verb Verb	VG	2	13	5
bill1	mail voter registration application	NN NN NN NN	Noun Noun Noun Noun	NP	4	35	5
bill1	maintained	VBN	Verb	VG	1	10	3
bill1	maintained	VBD	Verb	VG	1	10	2
bill1	moved	VBN	Verb	VG	1	5	5
bill1	names	NNS	Noun	NP	1	5	5
bill1	new address	JJ NN	Adj Noun	NP	2	11	5
bill1	offender	NN	Noun	NP	1	8	5
bill1	official list	JJ NN	Adj Noun	NP	2	13	5
bill1	official lists	NN NNS	Noun Noun	NP	2	14	3
bill1	official lists	JJ NNS	Adj Noun	NP	2	14	2
bill1	portion	NN	Noun	NP	1	7	5
bill1	process	NN	Noun	NP	1	7	5
bill1	registration agencies	NN NNS	Noun Noun	NP	2	21	5
bill1	relating	VBG	Verb	VG	1	8	5
bill1	require	VB	Verb	VG	1	7	4
bill1	require	VBP	Verb	VG	1	7	1
bill1	same registrars	JJ NNS	Adj Noun	NP	2	15	5
bill1	same registrars jurisdiction	JJ NNS NN	Adj Noun Noun	NP	3	28	5
bill1	signature	NN	Noun	NP	1	9	5
bill1	submitted	VBN	Verb	VG	1	9	5
bill1	subparagraph -lrb- a -rrb-	NN -LRB- NN -RRB-	Noun Lparen Noun Rparen	NP	4	26	5
bill1	vote in an election	VB IN DT NN	Verb Prep Det Noun	VerbArg	4	19	5
bill1	voter registration agencies	NN NN NNS	Noun Noun Noun	NP	3	27	4
bill1	voter registration agencies	NNP NN NNS	Noun Noun Noun	NP	3	27	1
bill1	voter registration application form	NN NN NN NN	Noun Noun Noun Noun	NP	4	35	5
bill1	written affirmation	JJ NN	Adj Noun	NP	2	19	4
bill1	written affirmation	VBN NN	Verb Noun	VerbArg	2	19	1
bill1	written affirmation by the registrant	JJ NN IN DT NN	Adj Noun Prep Det Noun	NP	5	37	4
bill1	written affirmation by the registrant	VBN NN IN DT NN	Verb Noun Prep Det Noun	VerbArg	5	37	1
bill1	10	CD	Noun	NP	1	2	4
bill1	11	CD	Noun	NP	1	2	4
bill1	3	CD	Noun	NP	1	1	4
bill1	3629	CD	Noun	NP	1	4	4
bill1	39	CD	Noun	NP	1	2	4
bill1	5 days	CD NNS	Noun Noun	NP	2	6	4
bill1	acceptance	NN	Noun	NP	1	10	3
bill1	acceptance	NNP	Noun	NP	1	10	1
bill1	amended	VBN	Verb	VG	1	7	4
bill1	apply	VB	Verb	VG	1	5	4
bill1	area covered	NN VBN	Noun Verb	VerbArg	2	12	4
bill1	authority	NN	Noun	NP	1	9	4
bill1	be transmitted	VB VBN	Verb Verb	VG	2	14	4
bill1	be transmitted to the appropriate state	VB VBN TO DT JJ NN	Verb Verb Prep Det Adj Noun	VerbArg	6	39	4
bill1	be transmitted to the appropriate state election	VB VBN TO DT JJ NN NN	Verb Verb Prep Det Adj Noun Noun	VerbArg	7	48	4
bill1	be transmitted to the appropriate state election official	VB VBN TO DT JJ NN NN NN	Verb Verb Prep Det Adj Noun Noun Noun	VerbArg	8	57	4
bill1	be used only	VB VBN RB	Verb Verb VerbMod	VG	3	12	4
bill1	be used only for voter	VB VBN RB IN NN	Verb Verb VerbMod Prep Noun	VerbArg	5	22	4
bill1	be used only for voter registration	VB VBN RB IN NN NN	Verb Verb VerbMod Prep Noun Noun	VerbArg	6	35	4
bill1	card	NN	Noun	NP	1	4	4
bill1	changed residence	VBN NN	Verb Noun	VerbArg	2	17	3
bill1	changed residence	VBD NN	Verb Noun	VerbArg	2	17	1
bill1	chief election	NN NN	Noun Noun	NP	2	14	4
bill1	citizens	NNS	Noun	NP	1	8	3
bill1	citizens	NNPS	Noun	NP	1	8	1
bill1	civil action	JJ NN	Adj Noun	NP	2	12	4
bill1	concerning	VBG	Verb	VG	1	10	4
bill1	correct the voting	VB DT NN	Verb Det Noun	VerbArg	3	18	4
bill1	covered	VBN	Verb	VG	1	7	4
bill1	date of an election	NN IN DT NN	Noun Prep Det Noun	NP	4	19	4
bill1	date of the election	NN IN DT NN	Noun Prep Det Noun	NP	4	20	4
bill1	date of the notice	NN IN DT NN	Noun Prep Det Noun	NP	4	18	4
bill1	declines	VBZ	Verb	VG	1	8	4
bill1	designate	VB	Verb	VG	1	9	4
bill1	does not	VBZ RB	Verb VerbMod	VG	2	8	4
bill1	et	FW	Noun	NP	1	2	4
bill1	et seq.	FW FW	Noun Noun	NP	2	7	4
bill1	form described	NN VBN	Noun Verb	VerbArg	2	14	4
bill1	form of the applicant	NN IN DT NN	Noun Prep Det Noun	NP	4	21	4
bill1	form of the applicant is	NN IN DT NN VBZ	Noun Prep Det Noun Verb	VerbArg	5	24	4
bill1	general election	JJ NN	Adj Noun	NP	2	16	4
bill1	general election for federal	JJ NN IN NNP	Adj Noun Prep Noun	NP	4	28	4
bill1	ii	CD	Noun	NP	1	2	4
bill1	is amended	VBZ VBN	Verb Verb	VG	2	10	4
bill1	is not	VBZ RB	Verb VerbMod	VG	2	6	4
bill1	laws	NNS	Noun	NP	1	4	4
bill1	lists of eligible voters	NNS IN JJ NNS	Noun Prep Adj Noun	NP	4	24	4
bill1	may be	MD VB	VerbMod Verb	VG	2	6	4
bill1	means	VBZ	Verb	VG	1	5	3
bill1	means	NNS	Noun	NP	1	5	1
bill1	meets	VBZ	Verb	VG	1	5	4
bill1	motor vehicle authority	NN NN NN	Noun Noun Noun	NP	3	23	4
bill1	not be	RB VB	VerbMod Verb	VG	2	6	4
bill1	official list of eligible voters	JJ NN IN JJ NNS	Adj Noun Prep Adj Noun	NP	5	32	4
bill1	official lists of eligible voters	NN NNS IN JJ NNS	Noun Noun Prep Adj Noun	NP	5	33	3
bill1	official lists of eligible voters	JJ NNS IN JJ NNS	Adj Noun Prep Adj Noun	NP	5	33	1
bill1	one	CD	Noun	NP	1	3	4
bill1	oral or written affirmation	JJ CC JJ NN	Adj O Adj Noun	NP	4	27	4
bill1	oral or written affirmation by the registrant	JJ CC JJ NN IN DT NN	Adj O Adj Noun Prep Det Noun	NP	7	45	4
bill1	party	NN	Noun	NP	1	5	4
bill1	period provided	NN VBN	Noun Verb	VerbArg	2	15	4
bill1	period provided by state	NN VBN IN NN	Noun Verb Prep Noun	VerbArg	4	24	4
bill1	period provided by state law	NN VBN IN NN NN	Noun Verb Prep Noun Noun	VerbArg	5	28	4
bill1	program	NN	Noun	NP	1	7	4
bill1	programs	NNS	Noun	NP	1	8	4
bill1	provides	VBZ	Verb	VG	1	8	4
bill1	reason	NN	Noun	NP	1	6	4
bill1	registrant is	NN VBZ	Noun Verb	VerbArg	2	13	4
bill1	registrant of the new address	NN IN DT JJ NN	Noun Prep Det Adj Noun	NP	5	29	4
bill1	registration form of the applicant	NN NN IN DT NN	Noun Noun Prep Det Noun	NP	5	34	4
bill1	registration form of the applicant is	NN NN IN DT NN VBZ	Noun Noun Prep Det Noun Verb	VerbArg	6	37	4
bill1	remain	VB	Verb	VG	1	6	4
bill1	removal	NN	Noun	NP	1	7	4
bill1	requires	VBZ	Verb	VG	1	8	4
bill1	return	NN	Noun	NP	1	6	3
bill1	return	VB	Verb	VG	1	6	1
bill1	section 8	NN CD	Noun Noun	NP	2	9	4
bill1	section 9	NN CD	Noun Noun	NP	2	9	4
bill1	seq.	FW	Noun	NP	1	4	4
bill1	shall be permitted	MD VB VBN	VerbMod Verb Verb	VG	3	18	4
bill1	shall be transmitted	MD VB VBN	VerbMod Verb Verb	VG	3	20	4
bill1	shall be transmitted to the appropriate state	MD VB VBN TO DT JJ NN	VerbMod Verb Verb Prep Det Adj Noun	VerbArg	7	45	4
bill1	shall be transmitted to the appropriate state election	MD VB VBN TO DT JJ NN NN	VerbMod Verb Verb Prep Det Adj Noun Noun	VerbArg	8	54	4
bill1	shall be transmitted to the appropriate state election official	MD VB VBN TO DT JJ NN NN NN	VerbMod Verb Verb Prep Det Adj Noun Noun Noun	VerbArg	9	63	4
bill1	shall designate	MD VB	VerbMod Verb	VG	2	15	4
bill1	signature of the applicant	NN IN DT NN	Noun Prep Det Noun	NP	4	26	4
bill1	state motor vehicle authority	NN NN NN NN	Noun Noun Noun Noun	NP	4	29	4
bill1	state shall designate	NN MD VB	Noun VerbMod Verb	VerbArg	3	21	4
bill1	states attorney	NNPS NN	Noun Noun	NP	2	15	4
bill1	title 39	NN CD	Noun Noun	NP	2	8	4
bill1	transmitted	VBN	Verb	VG	1	11	4
bill1	transmitted to the appropriate state	VBN TO DT JJ NN	Verb Prep Det Adj Noun	VerbArg	5	36	4
bill1	transmitted to the appropriate state election	VBN TO DT JJ NN NN	Verb Prep Det Adj Noun Noun	VerbArg	6	45	4
bill1	transmitted to the appropriate state election official	VBN TO DT JJ NN NN NN	Verb Prep Det Adj Noun Noun Noun	VerbArg	7	54	4
bill1	united states attorney	NNP NNPS NN	Noun Noun Noun	NP	3	22	4
bill1	used only	VBN RB	Verb VerbMod	VG	2	9	4
bill1	used only for voter	VBN RB IN NN	Verb VerbMod Prep Noun	VerbArg	4	19	4
bill1	used only for voter registration	VBN RB IN NN NN	Verb VerbMod Prep Noun Noun	VerbArg	5	32	4
bill1	valid voter	JJ NN	Adj Noun	NP	2	11	4
bill1	valid voter registration	JJ NN NN	Adj Noun Noun	NP	3	24	4
bill1	valid voter registration form	JJ NN NN NN	Adj Noun Noun Noun	NP	4	29	4
bill1	valid voter registration form of the applicant	JJ NN NN NN IN DT NN	Adj Noun Noun Noun Prep Det Noun	NP	7	46	4
bill1	valid voter registration form of the applicant is	JJ NN NN NN IN DT NN VBZ	Adj Noun Noun Noun Prep Det Noun Verb	VerbArg	8	49	4
bill1	vehicle authority	NN NN	Noun Noun	NP	2	17	4
bill1	voter registration form of the applicant	NN NN NN IN DT NN	Noun Noun Noun Prep Det Noun	NP	6	40	4
bill1	voter registration form of the applicant is	NN NN NN IN DT NN VBZ	Noun Noun Noun Prep Det Noun Verb	VerbArg	7	43	4
bill1	will be used	MD VB VBN	VerbMod Verb Verb	VG	3	12	4
bill1	will be used only	MD VB VBN RB	VerbMod Verb Verb VerbMod	VG	4	17	4
bill1	will be used only for voter	MD VB VBN RB IN NN	VerbMod Verb Verb VerbMod Prep Noun	VerbArg	6	27	4
bill1	will be used only for voter registration	MD VB VBN RB IN NN NN	VerbMod Verb Verb VerbMod Prep Noun Noun	VerbArg	7	40	4
bill1	will remain	MD VB	VerbMod Verb	VG	2	11	4
bill1	1965	CD	Noun	NP	1	4	3
bill1	1965 -lrb- 42 u.s.c. 1973 et seq. -rrb-	CD -LRB- CD NNP CD FW FW -RRB-	Noun Lparen Noun Noun Noun Noun Noun Rparen	NP	8	39	3
bill1	1973	CD	Noun	NP	1	4	3
bill1	1973 et	CD FW	Noun Noun	NP	2	7	3
bill1	1973 et seq.	CD FW FW	Noun Noun Noun	NP	3	12	3
bill1	42 u.s.c. 1973	CD NNP CD	Noun Noun Noun	NP	3	14	3
bill1	42 u.s.c. 1973 et	CD NNP CD FW	Noun Noun Noun Noun	NP	4	17	3
bill1	42 u.s.c. 1973 et seq.	CD NNP CD FW FW	Noun Noun Noun Noun Noun	NP	5	22	3
bill1	8 -lrb- a -rrb-	CD -LRB- DT -RRB-	Noun Lparen Det Rparen	NP	4	15	3
bill1	9 -lrb- a -rrb-	CD -LRB- DT -RRB-	Noun Lparen Det Rparen	NP	4	15	3
bill1	9 -lrb- a -rrb- -lrb- 2 -rrb-	CD -LRB- DT -RRB- -LRB- LS -RRB-	Noun Lparen Det Rparen Lparen O Rparen	NP	7	29	3
bill1	act of 1965	NNP IN CD	Noun Prep Noun	NP	3	11	3
bill1	act of 1965 -lrb- 42 u.s.c. 1973 et seq. -rrb-	NNP IN CD -LRB- CD NNP CD FW FW -RRB-	Noun Prep Noun Lparen Noun Noun Noun Noun Noun Rparen	NP	10	46	3
bill1	activities	NNS	Noun	NP	1	10	2
bill1	activities	NNPS	Noun	NP	1	10	1
bill1	address in the area	NN IN DT NN	Noun Prep Det Noun	NP	4	19	3
bill1	address in the area covered	NN IN DT NN VBN	Noun Prep Det Noun Verb	VerbArg	5	27	3
bill1	administration	NN	Noun	NP	1	14	2
bill1	administration	NNP	Noun	NP	1	14	1
bill1	affirmation by the registrant of the new address	NN IN DT NN IN DT JJ NN	Noun Prep Det Noun Prep Det Adj Noun	NP	8	48	3
bill1	applicant meets	NN VBZ	Noun Verb	VerbArg	2	15	3
bill1	applicant meets each such requirement	NN VBZ DT JJ NN	Noun Verb Det Adj Noun	VerbArg	5	37	3
bill1	applicants	NNS	Noun	NP	1	10	3
bill1	application for a state	NN IN DT NN	Noun Prep Det Noun	NP	4	23	3
bill1	application for a state motor	NN IN DT NN NN	Noun Prep Det Noun Noun	NP	5	29	3
bill1	application for a state motor vehicle	NN IN DT NN NN NN	Noun Prep Det Noun Noun Noun	NP	6	37	3
bill1	application for a state motor vehicle drivers	NN IN DT NN NN NN NNS	Noun Prep Det Noun Noun Noun Noun	NP	7	45	3
