lc_words	count
moved	5
names	5
new address	5
offender	5
official list	5
official lists	3
official lists	2
portion	5
process	5
registration agencies	5
relating	5
require	4
require	1
same registrars	5
same registrars jurisdiction	5
signature	5
submitted	5
subparagraph -lrb- a -rrb-	5
vote in an election	5
voter registration agencies	4
voter registration agencies	1
voter registration application form	5
written affirmation	4
written affirmation	1
written affirmation by the registrant	4
written affirmation by the registrant	1
10	4
11	4
3	4
3629	4
39	4
5 days	4
acceptance	3
acceptance	1
amended	4
apply	4
area covered	4
authority	4
be transmitted	4
be transmitted to the appropriate state	4
be transmitted to the appropriate state election	4
be transmitted to the appropriate state election official	4
be used only	4
be used only for voter	4
be used only for voter registration	4
card	4
changed residence	3
changed residence	1
chief election	4
citizens	3
citizens	1
civil action	4
concerning	4
correct the voting	4
covered	4
date of an election	4
date of the election	4
date of the notice	4
declines	4
designate	4
does not	4
et	4
et seq.	4
form described	4
form of the applicant	4
form of the applicant is	4
general election	4
general election for federal	4
ii	4
is amended	4
is not	4
laws	4
lists of eligible voters	4
may be	4
means	3
means	1
meets	4
motor vehicle authority	4
not be	4
official list of eligible voters	4
official lists of eligible voters	3
official lists of eligible voters	1
one	4
oral or written affirmation	4
oral or written affirmation by the registrant	4
party	4
period provided	4
period provided by state	4
period provided by state law	4
program	4
programs	4
provides	4
reason	4
registrant is	4
registrant of the new address	4
registration form of the applicant	4
registration form of the applicant is	4
remain	4
removal	4
requires	4
return	3
return	1
section 8	4
section 9	4
seq.	4
shall be permitted	4
shall be transmitted	4
shall be transmitted to the appropriate state	4
shall be transmitted to the appropriate state election	4
shall be transmitted to the appropriate state election official	4
shall designate	4
signature of the applicant	4
state motor vehicle authority	4
state shall designate	4
states attorney	4
title 39	4
transmitted	4
transmitted to the appropriate state	4
transmitted to the appropriate state election	4
transmitted to the appropriate state election official	4
united states attorney	4
used only	4
used only for voter	4
used only for voter registration	4
valid voter	4
valid voter registration	4
valid voter registration form	4
valid voter registration form of the applicant	4
valid voter registration form of the applicant is	4
vehicle authority	4
voter registration form of the applicant	4
voter registration form of the applicant is	4
will be used	4
will be used only	4
will be used only for voter	4
will be used only for voter registration	4
will remain	4
1965	3
1965 -lrb- 42 u.s.c. 1973 et seq. -rrb-	3
1973	3
1973 et	3
1973 et seq.	3
42 u.s.c. 1973	3
42 u.s.c. 1973 et	3
42 u.s.c. 1973 et seq.	3
8 -lrb- a -rrb-	3
9 -lrb- a -rrb-	3
9 -lrb- a -rrb- -lrb- 2 -rrb-	3
act of 1965	3
act of 1965 -lrb- 42 u.s.c. 1973 et seq. -rrb-	3
activities	2
activities	1
address in the area	3
address in the area covered	3
administration	2
administration	1
affirmation by the registrant of the new address	3
applicant meets	3
applicant meets each such requirement	3
applicants	3
application for a state	3
application for a state motor	3
application for a state motor vehicle	3
application for a state motor vehicle drivers	3
application for a state motor vehicle drivers license	2
application for a state motor vehicle drivers license	1
application for voter	2
application for voter	1
application for voter registration	2
application for voter registration	1
application forms	3
armed	3
armed forces	3
attestation that the applicant	3
attestation that the applicant meets	3
attestation that the applicant meets each such requirement	3
be considered	2
be considered	1
be removed	3
be used only for voter registration purposes	3
case of registration	3
check	2
check	1
citizenship	3
city	3
completed	3
compliance	3
confirmation	3
considered	2
considered	1
constitution	3
constitution of the state	3
contains	3
contains an attestation	3
contains an attestation that the applicant	3
correct the voting records	3
date of acceptance	3
days after the date of acceptance	3
declination	3
declination to register	3
described in subparagraph	3
described in subsection	3
designated under section	3
develop	3
district court	3
election official at that polling	3
election official at that polling place	3
election process	3
eligibility requirement	3
eligibility requirement -lrb- including citizenship -rrb-	3
enactment	3
enactment of this act	3
ensure	3
entities	3
establish	3
forces	3
general election for federal office	3
geographic area	3
given	3
h	3
has changed	3
has changed residence	3
has moved from an address	3
has moved from an address in the area	3
held	3
help	2
help	1
including citizenship	3
information required	3
inserting	3
is accepted	3
is maintained	3
j	3
january	3
known	3
like	3
mail voter registration application form	3
mail voter registration form	2
mail voter registration form	1
march	3
march 11	3
may have	3
meets each such requirement	3
moved from an address	3
moved from an address in the area	3
municipality	3
national	3
national voter	2
national voter	1
national voter registration	2
national voter registration	1
notify	3
official at that polling	3
official at that polling place	3
participation	3
penalty	3
penalty of perjury	3
perjury	3
political preference	3
postal	3
postal service	3
preference	3
rates	3
recruitment	3
reduced	3
registrant has changed	3
registrant has changed residence	3
registrant has moved	3
registration application forms	3
registration of voters	3
registration of voters in elections	3
registration of voters in elections for federal	3
registration of voters in elections for federal office	3
registration records	3
remedies	3
remove	3
removed	3
requirement -lrb- including citizenship -rrb-	3
requires the signature	3
requires the signature of the applicant	3
residence address	3
rights act	3
rights act of 1965	3
rights act of 1965 -lrb- 42 u.s.c. 1973 et seq. -rrb-	3
rights and remedies	3
section 8 -lrb- a -rrb-	3
section 9 -lrb- a -rrb-	3
section 9 -lrb- a -rrb- -lrb- 2 -rrb-	3
sent	3
service or assistance	3
shall make	3
shall provide	3
stated	3
stated in section	3
subject	3
subject to paragraph	3
subject to paragraph -lrb- 2 -rrb-	3
subsection -lrb- d -rrb-	3
such requirement	3
take	3
time	2
time	1
u.s.c. 1973	3
u.s.c. 1973 et	3
u.s.c. 1973 et seq.	3
unit	3
unit of government	3
use	2
use	1
used only for voter registration purposes	3
voter registration application forms	3
voting records	3
voting rights	3
voting rights act	3
voting rights act of 1965	3
voting rights act of 1965 -lrb- 42 u.s.c. 1973 et seq. -rrb-	3
will be used only for voter registration purposes	3
written affirmation by the registrant of the new address	2
written affirmation by the registrant of the new address	1
written notice	2
written notice	1
10 days	2
10 days after the date	2
10 days after the date of acceptance	2
120	2
120 days	2
1971	2
2 u.s.c.	2
2 u.s.c. 431	2
301	2
36	2
36 of title	2
36 of title 39	2
3626 -lrb- a -rrb-	2
3629 of this title	2
4	2
431	2
5 days after the date	2
5 days before the last day	2
5 days before the last day for registration	2
5 days before the last day for registration to vote	2
5 days before the last day for registration to vote in an election	2
8 -lrb- a -rrb- -lrb- 5 -rrb-	2
8 -lrb- a -rrb- -lrb- 5 -rrb- -lrb- a -rrb-	2
90	2
90 days	2
absentee	1
absentee	1
accept	2
accepted within 5	2
accepted within 5 days	2
accepted within 5 days before the last day	2
accepted within 5 days before the last day for registration	2
accordance with state	2
accordance with state law	2
accurate and current voter	2
accurate and current voter registration	2
act of 1971	2
act of 1993	2
action in an appropriate district	2
action in an appropriate district court	2
address before an election	2
address before an election official	2
address before an election official at that polling	2
address before an election official at that polling place	2
address form	2
address in the area covered by a polling	2
address in the area covered by a polling place	2
addresses	2
administer	2
administer voter	2
administer voter registration	2
administer voter registration and other parts	2
administer voter registration and other parts of the election	2
administer voter registration and other parts of the election process	2
administration of voter	1
administration of voter	1
administration of voter registration	1
administration of voter registration	1
agencies designated	2
agency designated	2
aggrieved person	2
america	2
amount	2
applicant declines	2
applicant does	2
applicant does register	2
applicant has	2
applicant has declined	2
applicant refuses	2
applicant refuses such assistance	2
applicant submits	2
applicant submits a voter	2
applicant submits a voter registration	2
applicant submits a voter registration application	2
application form for elections	2
application form for elections for federal	2
application form for elections for federal office	2
application is	2
application is accepted	2
application is accepted within 5	2
application is accepted within 5 days	2
application is accepted within 5 days before the last day	2
application is accepted within 5 days before the last day for registration	2
application made	1
application made	1
application shall be	2
application shall be transmitted	2
application shall be transmitted to the appropriate state	2
application shall be transmitted to the appropriate state election	2
application shall be transmitted to the appropriate state election official	2
application under section	2
application will remain	2
applying	2
appropriate district	2
appropriate district court	2
appropriate state motor	2
appropriate state motor vehicle	2
appropriate state motor vehicle authority	2
are known	2
are known by the person	2
area covered by a polling	2
area covered by a polling place	2
armed forces of the united	2
armed forces of the united states	2
assess	2
assess the eligibility	2
assess the eligibility of the applicant	2
attempts	2
attestation portion	2
attestation portion of the application	2
attorney general	2
attorney shall give	2
availability	2
basis	2
be made	2
be materially	2
be provided	2
be removed from the official list	2
be removed from the official list of eligible voters	2
be used for any purpose	2
beginning	2
beginning on the date	2
beginning on the date of the notice	2
being	2
believe	1
believe	1
box	1
box	1
boxes	2
bring	2
bring a civil action	2
bring a civil action in an appropriate district	2
bring a civil action in an appropriate district court	2
bureaus	2
campaign	2
campaign act	2
campaign act of 1971	2
carry	2
carry out	2
central location	2
change of address form	2
changed residence to a place	2
changed residence to a place outside the registrars	2
changed residence to a place outside the registrars jurisdiction	2
chapter	2
chapter 36	2
chapter 36 of title	2
chapter 36 of title 39	2
chief election officers	2
chief election officers of the states	2
chief election official	2
chief election official of the state	2
chief state election official of a state	2
civil action in an appropriate district	2
civil action in an appropriate district court	2
commission	2
complaint	2
completed voter	2
completed voter registration	2
completion	2
compliance with this act	2
conduct	1
conduct	1
conducted	2
consultation	2
consultation with the chief	2
consultation with the chief election	2
consultation with the chief election officers	2
consultation with the chief election officers of the states	2
convicted	2
coordination	1
coordination	1
correct the voting records and vote	2
county	2
covered by a polling	2
covered by a polling place	2
current address	2
current voter	2
current voter registration	2
date of an election for federal	2
date of an election for federal office	2
date of enactment	2
date of enactment of this act	2
date of the second general election	2
date of the second general election for federal	2
date of the second general election for federal office	2
day after the date	2
day after the date of the second general election	2
day after the date of the second general election for federal	2
day after the date of the second general election for federal office	2
day for registration	2
day for registration to vote	2
day for registration to vote in an election	2
days after receipt	2
days before the date	2
days before the date of an election	2
days before the date of an election for federal	2
days before the date of an election for federal office	2
days before the last day	2
days before the last day for registration	2
days before the last day for registration to vote	2
days before the last day for registration to vote in an election	2
deadline	2
decision	2
declaratory or injunctive relief	2
decline	2
declined	2
described in section	2
described in section 9	2
designated under paragraph	2
designated under section 7	2
designation	2
different residence	2
different residence address	2
disabilities	2
disposition	2
distribution	2
do	1
do	1
does not apply	2
does register	2
e	2
election campaign	2
election campaign act	2
election campaign act of 1971	2
election commission	2
election during the period	2
election during the period beginning	2
election during the period beginning on the date	2
election during the period beginning on the date of the notice	2
election is	2
election is held	2
election officers	2
election officers of the states	2
election official of a state	2
election official of the state	2
electoral process	2
eligibility of the applicant	2
eligible citizens	2
eligible voters by reason	2
eligible voters in elections	2
eligible voters in elections for federal	2
eligible voters in elections for federal office	2
enable	2
enacted	2
ending	2
ending on the day	2
ending on the day after the date	2
ending on the day after the date of the second general election	2
ending on the day after the date of the second general election for federal	2
ending on the day after the date of the second general election for federal office	2
ensuring	2
entitled	2
establish procedures	2
established	2
established by this section	2
extent	2
fact	2
fact that the applicant	2
fact that the applicant has	2
fact that the applicant has declined	2
failed	2
federal and state	2
federal election campaign	2
federal election campaign act	2
federal election campaign act of 1971	2
federal election commission	2
federal government	1
federal government	1
fees	2
findings	2
forces of the united	2
forces of the united states	2
form described in paragraph	2
form described in section	2
form described in section 9	2
form for elections	2
form for elections for federal	2
form for elections for federal office	2
forwardable mail	2
give	2
governments	2
h.r.	2
h.r. 2	2
has changed residence to a place	2
has changed residence to a place outside the registrars	2
has changed residence to a place outside the registrars jurisdiction	2
has declined	2
has failed	2
has moved to a different residence	2
has moved to a different residence address	2
has not	2
has the meaning	2
home	2
house	2
house of representatives	2
hundred	1
hundred	1
identity	2
implement	2
include a statement	2
includes	2
indicate	1
indicate	1
ineligible voters	2
ineligible voters from the official	2
ineligible voters from the official lists	2
ineligible voters from the official lists of eligible voters	2
information concerning	2
information relating	2
information required in section	2
information required in section 8	2
injunctive relief	2
inserting in lieu	2
inspection	2
integrity	2
integrity of the electoral process	2
involved	2
is accepted within 5	2
is accepted within 5 days	2
is accepted within 5 days before the last day	2
is accepted within 5 days before the last day for registration	2
is entitled	2
is held	2
is in effect	2
is provided	2
item	2
january 1	2
judgment	2
k	2
known by the person	2
last day	2
last day for registration	2
last day for registration to vote	2
last day for registration to vote in an election	2
laws of the state	2
license bureaus	2
lieu	2
list of eligible voters in elections	2
list of eligible voters in elections for federal	2
list of eligible voters in elections for federal office	2
local governments	2
location	2
mail registration	2
make any statement	2
make any statement to an applicant	2
making	2
may be used	2
may be used for any purpose	2
may bring	2
may bring a civil action	2
may bring a civil action in an appropriate district	2
may bring a civil action in an appropriate district court	2
may not be	2
may not be removed	2
may not be removed from the official list	2
may not be removed from the official list of eligible voters	2
may require	2
may require only	2
meaning	2
meaning stated	2
meaning stated in section	2
meaning stated in section 301	2
moved to a different residence	2
moved to a different residence address	2
name of a registrant	2
names of ineligible voters	2
names of ineligible voters from the official	2
names of ineligible voters from the official lists	2
names of ineligible voters from the official lists of eligible voters	2
national voter registration act	2
national voter registration act of 1993	2
not apply	2
not be removed	2
not be removed from the official list	2
not be removed from the official list of eligible voters	2
not described	2
not described in paragraph	2
notice was	2
notice was given	2
notices	2
notification	2
notify the registrar	2
notify the registrar of the change	2
notify the registrar of the change of address	2
number	2
occurred	2
occurs	2
occurs after the date	2
occurs after the date of the notice	2
offender was	2
offender was convicted	2
offenders	2
office designated	2
office designated under section	2
office designated under section 7	2
officers	2
officers of the states	2
offices in the state	2
official list of eligible voters in elections	2
official list of eligible voters in elections for federal	2
official list of eligible voters in elections for federal office	2
official of a state	2
official of the state	2
officials	2
oral or written affirmation by the registrant of the new address	2
other federal	2
other information	2
other parts	2
other parts of the election	2
other parts of the election process	2
other unit	2
other unit of government	2
paragraph -lrb- 1 -rrb- shall include	2
paragraph -lrb- 2 -rrb- -lrb- b -rrb-	2
paragraph -lrb- 4 -rrb-	2
paragraph -lrb- 6 -rrb-	2
paragraphs	2
particular voter	2
particular voter is	2
particular voter is registered	2
parts	2
parts of the election	2
parts of the election process	2
penalties	2
period beginning	2
period beginning on the date	2
period beginning on the date of the notice	2
person has	2
person to be	2
person to be materially	2
persons home	2
persons with disabilities	2
place outside the registrars	2
place outside the registrars jurisdiction	2
place to an address	2
political preference or party	2
polling place to an address	2
portion of an application	2
portion of an application for a state	2
portion of an application for a state motor	2
portion of an application for a state motor vehicle	2
portion of an application for a state motor vehicle drivers	2
portion of an application for a state motor vehicle drivers license	1
portion of an application for a state motor vehicle drivers license	1
portion of the application	2
postage	2
pre-addressed return	2
preclude	2
preference or party	2
president	2
print	2
private right	1
private right	1
private right of action	1
private right of action	1
procedure	2
procurement	2
protect	2
protect the integrity	2
protect the integrity of the electoral process	2
provided by law	2
provided in subsection	2
provides service	2
provision	2
public	2
public assistance	2
purpose or effect	2
purposes of this act	2
rates for voter	2
rates for voter registration	2
rates for voter registration purposes	2
receipt	2
received	2
records and vote	2
recruitment offices	2
reduced rates	2
reduced rates for voter	2
reduced rates for voter registration	2
reduced rates for voter registration purposes	2
refuses	2
refuses such assistance	2
regard	2
regard to the completion	2
register or vote	2
register will	2
register will remain	2
registering	2
registrant has changed residence to a place	2
registrant has changed residence to a place outside the registrars	2
registrant has changed residence to a place outside the registrars jurisdiction	2
registrant has moved to a different residence	2
registrant has moved to a different residence address	2
registrant is registered	2
registrants address	2
registrants name	2
registrar of the change	2
registrar of the change of address	2
registrar shall correct	2
registration act	2
registration act of 1993	2
registration activities	1
registration activities	1
registration agencies designated	2
registration agency designated	2
registration and other parts	2
registration and other parts of the election	2
registration and other parts of the election process	2
registration application form for elections	2
registration application form for elections for federal	2
registration application form for elections for federal office	2
registration application is	2
registration application is accepted	2
registration application is accepted within 5	2
registration application is accepted within 5 days	2
registration application is accepted within 5 days before the last day	2
registration application is accepted within 5 days before the last day for registration	2
registration application will remain	2
registration by the applicant	2
registration for elections	1
registration for elections	1
registration for elections for federal	1
registration for elections for federal	1
registration for elections for federal office	1
registration for elections for federal office	1
registration is	2
registration is maintained	2
registration to vote	2
registration to vote in an election	2
registration with respect	2
registration with respect to elections	2
registration with respect to elections for federal	2
registration with respect to elections for federal office	2
regulations	2
relief	2
remedies established	2
remedies established by this section	2
removal of names	2
remove the names	2
remove the names of ineligible voters	2
remove the names of ineligible voters from the official	2
remove the names of ineligible voters from the official lists	2
remove the names of ineligible voters from the official lists of eligible voters	2
removed from the official list	2
removed from the official list of eligible voters	2
renewal	2
representatives	2
request	2
require only	2
required in section	2
required in section 8	2
requirements	2
residence to a place	2
residence to a place outside the registrars	2
residence to a place outside the registrars jurisdiction	2
respect to elections	2
respect to elections for federal	2
respect to elections for federal office	2
responsibilities	2
return card	2
returned	2
right of action	2
rights and remedies established	2
rights and remedies established by this section	2
rolls	1
rolls	1
second general election	2
second general election for federal	2
second general election for federal office	2
section 301	2
section 5	2
section 6	2
section 7	2
section 8 -lrb- a -rrb- -lrb- 5 -rrb-	2
section 8 -lrb- a -rrb- -lrb- 5 -rrb- -lrb- a -rrb-	2
sections	2
seek	1
seek	1
senate	2
sentence	2
serve	2
services to persons	2
services to persons with disabilities	2
shall be considered	2
shall be made	2
shall correct	2
shall give	2
shall include a statement	2
shall serve	2
sign	2
specifies	2
specifies each eligibility	2
specifies each eligibility requirement	2
specifies each eligibility requirement -lrb- including citizenship -rrb-	2
state election official of a state	2
state official	2
stated in section 301	2
statement that if an applicant	2
statement that if an applicant does	2
statement that if an applicant does register	2
statement to an applicant	2
states attorney shall give	2
states of america	2
striking	2
striking out	2
submission	2
submits	2
submits a voter	2
submits a voter registration	2
submits a voter registration application	2
submitted to the appropriate state	2
submitted to the appropriate state motor	2
submitted to the appropriate state motor vehicle	2
submitted to the appropriate state motor vehicle authority	2
subparagraph -lrb- c -rrb-	2
subsection -lrb- a -rrb- -lrb- 2 -rrb-	2
subsection -lrb- d -rrb- -lrb- 2 -rrb-	2
such assistance	2
such service	2
such service or assistance	2
take any action	2
transmittal deadline	2
u.s.c. 431	2
united states attorney shall give	2
united states of america	2
used for any purpose	2
used in the attestation	2
used in the attestation portion	2
used in the attestation portion of the application	2
violation occurred	2
vote at that polling	2
vote at that polling place	2
vote in elections	2
vote in elections for federal	2
vote in elections for federal office	2
vote otherwise	2
vote otherwise than in person	2
voted	1
voted	1
voter is	2
voter is registered	2
voter participation	2
voter registration act	2
voter registration act of 1993	2
voter registration activities	1
voter registration activities	1
voter registration agencies designated	1
voter registration agencies designated	1
voter registration agency designated	2
voter registration and other parts	2
voter registration and other parts of the election	2
voter registration and other parts of the election process	2
voter registration application form for elections	2
voter registration application form for elections for federal	2
voter registration application form for elections for federal office	2
voter registration application will remain	2
voter registration for elections	1
voter registration for elections	1
voter registration for elections for federal	1
voter registration for elections for federal	1
voter registration for elections for federal office	1
voter registration for elections for federal office	1
voter registration is	2
voter registration is maintained	2
voter registration with respect	2
voter registration with respect to elections	2
voter registration with respect to elections for federal	2
voter registration with respect to elections for federal office	2
voters by reason	2
voters from the official	2
voters from the official lists	2
voters from the official lists of eligible voters	2
voting records and vote	2
voting registrar	2
voting registration	2
was convicted	2
was given	2
would like	2
writing	2
written	2
years	2
10 of the state	1
10 of the state of the persons	1
10 of the state of the persons residence	1
103th	1
103th congress	1
12	1
120 days after the date	1
120 days before the date	1
120 days before the date of an election	1
120 days before the date of an election for federal	1
120 days before the date of an election for federal office	1
13	1
18	1
1973ee-1	1
1973ee-1 -lrb- b -rrb-	1
1973ee-1 -lrb- b -rrb- -lrb- 2 -rrb-	1
1973ee-1 -lrb- b -rrb- -lrb- 2 -rrb- -lrb- b -rrb-	1
1973ee-1 -lrb- b -rrb- -lrb- 2 -rrb- -lrb- b -rrb- -lrb- ii -rrb-	1
1973ff-1	1
1973ff-1 et	1
1973ff-1 et seq.	1
1995	1
1996	1
2 enrolled	1
2 enrolled bill	1
2 enrolled bill -lrb- enr -rrb-	1
2 one	1
2 one hundred	1
2 u.s.c. 431 -lrb- 1 -rrb-	1
2 u.s.c. 431 -lrb- 3 -rrb-	1
2 years	1
2-year period	1
20	1
20 days	1
20 days after receipt	1
20 days after receipt of the notice	1
20 days after receipt of the notice if the violation	1
20 days after receipt of the notice if the violation occurred	1
20 days after receipt of the notice if the violation occurred within 120	1
20 days after receipt of the notice if the violation occurred within 120 days	1
20 days after receipt of the notice if the violation occurred within 120 days before the date	1
20 days after receipt of the notice if the violation occurred within 120 days before the date of an election	1
20 days after receipt of the notice if the violation occurred within 120 days before the date of an election for federal	1
20 days after receipt of the notice if the violation occurred within 120 days before the date of an election for federal office	1
2401	1
2401 -lrb- c -rrb-	1
2401 -lrb- c -rrb- of title	1
2401 -lrb- c -rrb- of title 39	1
3 -lrb- b -rrb-	1
3 -lrb- b -rrb- -lrb- 2 -rrb-	1
3 -lrb- b -rrb- -lrb- 2 -rrb- -lrb- b -rrb-	1
3 -lrb- b -rrb- -lrb- 2 -rrb- -lrb- b -rrb- -lrb- ii -rrb-	1
3 -lrb- b -rrb- -lrb- 2 -rrb- -lrb- b -rrb- -lrb- ii -rrb- of the voting	1
3 -lrb- b -rrb- -lrb- 2 -rrb- -lrb- b -rrb- -lrb- ii -rrb- of the voting accessibility	1
3 -lrb- b -rrb- -lrb- 2 -rrb- -lrb- b -rrb- -lrb- ii -rrb- of the voting accessibility for the elderly	1
3 -lrb- b -rrb- -lrb- 2 -rrb- -lrb- b -rrb- -lrb- ii -rrb- of the voting accessibility for the elderly and handicapped	1
3 -lrb- b -rrb- -lrb- 2 -rrb- -lrb- b -rrb- -lrb- ii -rrb- of the voting accessibility for the elderly and handicapped act	1
30 days before the date	1
30 days before the date of an election	1
30 days before the date of an election for federal	1
30 days before the date of an election for federal office	1
30 of each odd-numbered	1
30 of each odd-numbered year	1
301 -lrb- 1 -rrb-	1
301 -lrb- 1 -rrb- of the federal	1
301 -lrb- 1 -rrb- of the federal election	1
301 -lrb- 1 -rrb- of the federal election campaign	1
301 -lrb- 1 -rrb- of the federal election campaign act	1
301 -lrb- 1 -rrb- of the federal election campaign act of 1971	1
301 -lrb- 3 -rrb-	1
301 -lrb- 3 -rrb- of the federal	1
301 -lrb- 3 -rrb- of the federal election	1
301 -lrb- 3 -rrb- of the federal election campaign	1
301 -lrb- 3 -rrb- of the federal election campaign act	1
301 -lrb- 3 -rrb- of the federal election campaign act of 1971	1
31	1
3302	1
3302 of title	1
3302 of title 31	1
3626 -lrb- j -rrb-	1
3626 for the purpose	1
3626 for the purpose of making	1
3626 for the purpose of making a mailing	1
3626 for the purpose of making a mailing that the official certifies	1
3626 of this title	1
3627	1
3627 of title	1
3627 of title 39	1
3628	1
42 u.s.c. 1973ee-1	1
42 u.s.c. 1973ee-1 -lrb- b -rrb-	1
42 u.s.c. 1973ee-1 -lrb- b -rrb- -lrb- 2 -rrb-	1
42 u.s.c. 1973ee-1 -lrb- b -rrb- -lrb- 2 -rrb- -lrb- b -rrb-	1
42 u.s.c. 1973ee-1 -lrb- b -rrb- -lrb- 2 -rrb- -lrb- b -rrb- -lrb- ii -rrb-	1
42 u.s.c. 1973ff-1	1
42 u.s.c. 1973ff-1 et	1
42 u.s.c. 1973ff-1 et seq.	1
431 -lrb- 1 -rrb-	1
431 -lrb- 3 -rrb-	1
5 days after the date of acceptance	1
5 days after the date of acceptance.sec	1
5 years	1
7 -lrb- a -rrb-	1
7 -lrb- a -rrb- -lrb- 1 -rrb-	1
7 -lrb- a -rrb- -lrb- 1 -rrb- to perform	1
7 -lrb- a -rrb- -lrb- 1 -rrb- to perform voter	1
7 -lrb- a -rrb- -lrb- 1 -rrb- to perform voter registration	1
7 -lrb- a -rrb- -lrb- 1 -rrb- to perform voter registration activities	1
8 -lrb- a -rrb- -lrb- 2 -rrb-	1
8 -lrb- d -rrb-	1
9 -lrb- a -rrb- -lrb- 2 -rrb- for the registration	1
9 -lrb- a -rrb- -lrb- 2 -rrb- for the registration of voters	1
9 -lrb- a -rrb- -lrb- 2 -rrb- for the registration of voters in elections	1
9 -lrb- a -rrb- -lrb- 2 -rrb- for the registration of voters in elections for federal	1
9 -lrb- a -rrb- -lrb- 2 -rrb- for the registration of voters in elections for federal office	1
9 -lrb- b -rrb-	1
9 -lrb- b -rrb- for the registration	1
9 -lrb- b -rrb- for the registration of voters	1
9 -lrb- b -rrb- for the registration of voters in elections	1
9 -lrb- b -rrb- for the registration of voters in elections for federal	1
9 -lrb- b -rrb- for the registration of voters in elections for federal office	1
90 days after receipt	1
90 days after receipt of a notice	1
90 days after receipt of a notice under paragraph	1
90 days after receipt of a notice under paragraph -lrb- 1 -rrb-	1
absentee ballot	1
absentee ballot under the uniformed and overseas citizens	1
absentee ballot under the uniformed and overseas citizens absentee	1
absentee ballot under the uniformed and overseas citizens absentee voting	1
absentee ballot under the uniformed and overseas citizens absentee voting act	1
absentee ballot under the uniformed and overseas citizens absentee voting act -lrb- 42 u.s.c. 1973ff-1 et seq. -rrb-	1
absentee voting	1
absentee voting act	1
absentee voting act -lrb- 42 u.s.c. 1973ff-1 et seq. -rrb-	1
accept and use	1
accept and use the mail	1
accept and use the mail voter	1
accept and use the mail voter registration	1
accept and use the mail voter registration application	1
accept and use the mail voter registration application form	1
